7755928  2019-03-06 13:27:21.638209
7755928  2019-03-06 13:28:05.861739
7755928  2019-03-06 13:31:23.192025
7755928  2019-03-06 13:31:41.612079
7755928  2019-03-06 13:32:28.067736
7755928  2019-03-06 13:33:05.855897
7755928  2019-03-06 13:33:15.683459
7755928  2019-03-06 13:33:58.795925
7755928  2019-03-06 13:35:29.769129
7755928  2019-03-06 13:35:37.460569
7755928  2019-03-06 13:35:58.406767
7755928  2019-03-06 13:38:11.709391
7755928  2019-03-06 13:38:31.167504
7755928  2019-03-06 13:40:01.896694
7755928  2019-03-06 13:40:20.297746
7755928  2019-03-06 13:40:51.981558
7755928  2019-03-06 13:41:25.272462
7755928  2019-03-06 13:41:35.787064
7755928  2019-03-06 13:42:04.174687
7755928  2019-03-06 13:42:33.694376
7755928  2019-03-06 13:43:40.711209
7755928  2019-03-06 13:45:47.048435
7755928  2019-03-06 13:46:01.040235
7755928  2019-03-06 13:46:12.630898
7755928  2019-03-06 13:46:22.097440
7833512  2019-03-06 13:48:40.4963560
7833512  2019-03-06 13:49:36.680569-77584
7833512  2019-03-06 13:50:51.6868590
7833312  2019-03-06 13:52:11.299413 0
7833514  2019-03-06 13:52:54.465882  Остатки-200
7833414  2019-03-06 13:53:41.578577  убыло\прибыло 202
7833414  2019-03-06 13:54:41.705016  убыло\прибыло: -100.
7833799  2019-03-06 16:45:43.664966  убыло\прибыло: 0.
7833799  2019-03-06 16:46:02.959070  убыло\прибыло: 385.
7834838  2019-03-06 16:46:50.396783  убыло\прибыло: 0.
7834838  2019-03-06 16:48:19.345871  убыло\прибыло: 1039.
7834838  2019-03-06 16:48:32.834642  убыло\прибыло: 0.
7834841  2019-03-06 16:51:11.003689  убыло\прибыло: 0.
7834841  2019-03-06 16:51:19.904198  убыло\прибыло: 3.
7834841  2019-03-06 16:52:08.290966  убыло\прибыло: 0.
7832249  2019-03-06 16:53:21.102130  убыло\прибыло: 0.
7832249  2019-03-06 16:53:32.944808  убыло\прибыло: -2592.
7831839  2019-03-06 16:54:55.294518  убыло\прибыло: 0.
7832276  2019-03-06 16:55:42.085194  убыло\прибыло: -410.
7832276  SEM2019-03-06 16:58:20.750269  убыло\прибыло: 437.
7832276   SEM 2019-03-06 16:58:41.526457  убыло\прибыло: 0.
7832276 SEM 2019-03-06 16:59:03.757729  убыло\прибыло: 0.
7832276 SEM 2019-03-06 16:59:06.296874  убыло\прибыло: 0.
7835457 SEM 2019-03-06 19:38:44.690727  убыло\прибыло: 0.
7835457 SEM 2019-03-06 19:39:00.686642  убыло\прибыло: 3181.
7838286 SEM 2019-03-07 09:12:15.457543  убыло\прибыло: 0.
7838286 SEM 2019-03-07 09:12:18.436714  убыло\прибыло: 2829.
7854461 SEM 2019-03-07 23:27:17.123831  убыло\прибыло: 0.
7854461 SEM 2019-03-07 23:27:19.691977  убыло\прибыло: 16175.
7847875 SEM 2019-03-08 12:46:47.697590  убыло\прибыло: 0.
7847875 SEM 2019-03-08 12:46:51.181790  убыло\прибыло: -6586.
7775609 SEM 2019-03-08 17:31:07.803373  убыло\прибыло: 0.
7775609 SEM 2019-03-08 17:31:22.038187  убыло\прибыло: -72266.
7851714 SEM 2019-03-08 20:29:38.478988  убыло\прибыло: 0.
7851714 SEM 2019-03-08 20:29:45.175371  убыло\прибыло: 76105.
7856594 SEM 2019-03-09 12:41:00.312519  убыло\прибыло: 0.
7856594 SEM 2019-03-09 12:41:03.197684  убыло\прибыло: 4880.
7858766 SEM 2019-03-09 16:45:09.347395  убыло\прибыло: 0.
7858766 SEM 2019-03-09 16:45:11.832538  убыло\прибыло: 2172.
7876440 SEM 2019-03-11 00:29:48.809807  убыло\прибыло: 0.
7876440 SEM 2019-03-11 00:29:51.605967  убыло\прибыло: 17674.
7802091 SEM 2019-03-11 10:54:36.752994  убыло\прибыло: 0.
7802091 SEM 2019-03-11 10:54:46.014524  убыло\прибыло: -74349.
7802097 SEM 2019-03-11 10:58:03.447817  убыло\прибыло: 0.
7802097 SEM 2019-03-11 10:58:21.595855  убыло\прибыло: 6.
7882771 SEM 2019-03-11 14:30:48.606942  убыло\прибыло: 0.
7882771 SEM 2019-03-11 14:30:52.494164  убыло\прибыло: 80674.
7888503 SEM 2019-03-12 15:48:44.887207  убыло\прибыло: 0.
7893116 SEM 2019-03-12 19:19:02.979921  убыло\прибыло: 5732.
7893116 SEM 2019-03-12 19:19:07.172161  убыло\прибыло: 4613.
7908872 SEM 2019-03-12 20:34:23.473478  убыло\прибыло: 0.
7908872 SEM 2019-03-12 20:35:00.148576  убыло\прибыло: 15756.
7908872 SEM 2019-03-12 20:37:18.154470  убыло\прибыло: 0.
7908872 SEM 2019-03-12 20:37:48.579210  убыло\прибыло: 0.
7908872 SEM 2019-03-12 20:38:29.468549  убыло\прибыло: 0.
7908872 SEM 2019-03-12 20:39:15.331172  убыло\прибыло: 0.
7908872 SEM 2019-03-12 20:39:27.704879  убыло\прибыло: 0.
7909003 SEM 2019-03-12 21:47:12.370365  убыло\прибыло: 0.
7909003 SEM 2019-03-12 21:47:39.305906  убыло\прибыло: 131.
7909003 SEM 2019-03-12 21:51:34.416353  убыло\прибыло: 0.
7909003 SEM 2019-03-12 21:51:49.906239  убыло\прибыло: 0.
7909004 SEM 2019-03-12 22:39:15.983025  убыло\прибыло: 0.
7909004 SEM 2019-03-12 22:39:19.649235  убыло\прибыло: 1.
7927935 SEM 2019-03-13 19:00:52.536348  убыло\прибыло: 0.
7927935 SEM 2019-03-13 19:01:10.262362  убыло\прибыло: 18931.
7908816 SEM 2019-03-14 01:49:00.227964  убыло\прибыло: 0.
7908816 SEM 2019-03-14 01:49:09.757509  убыло\прибыло: -19119.
7908816 SEM 2019-03-14 02:26:23.704284  убыло\прибыло: 0.
7908816 SEM 2019-03-14 02:26:27.206484  убыло\прибыло: 0.
7846388 SEM 2019-03-14 16:14:31.954289  убыло\прибыло: 0.
7918163 SEM 2019-03-14 22:13:43.342958  убыло\прибыло: -62428.
7918163 SEM 2019-03-14 22:13:48.651262  убыло\прибыло: 71775.
7934434 SEM 2019-03-15 18:41:14.114959  убыло\прибыло: 0.
7934434 SEM 2019-03-15 18:41:19.697278  убыло\прибыло: 16271.
7947241 SEM 2019-03-16 11:14:14.691773  убыло\прибыло: 0.
7947241 SEM 2019-03-16 11:14:19.853068  убыло\прибыло: 12807.
7952200 SEM 2019-03-17 02:20:18.797222  убыло\прибыло: 0.
7952200 SEM 2019-03-17 02:20:23.188473  убыло\прибыло: 4959.
7957460 SEM 2019-03-17 22:14:51.778682  убыло\прибыло: 0.
7957460 SEM 2019-03-17 22:14:56.512953  убыло\прибыло: 5260.
7960110 SEM 2019-03-18 07:29:39.612637  убыло\прибыло: 0.
7960110 SEM 2019-03-18 07:29:44.067892  убыло\прибыло: 2650.
7884197 SEM 2019-03-18 17:52:37.646539  убыло\прибыло: 0.
7884197 SEM 2019-03-18 17:52:42.959843  убыло\прибыло: -75913.
7964531 SEM 2019-03-18 18:49:38.544203  убыло\прибыло: 0.
7964531 SEM 2019-03-18 18:49:44.869565  убыло\прибыло: 80334.
8028876 SEM 2019-03-19 13:07:15.941030  убыло\прибыло: 0.
8028876 SEM 2019-03-19 13:07:19.594239  убыло\прибыло: 64345.
8032203 SEM 2019-03-20 16:40:03.789107  убыло\прибыло: 0.
8032203 SEM 2019-03-20 16:40:05.861225  убыло\прибыло: 3327.
8045364 SEM 2019-03-23 00:43:12.260747  убыло\прибыло: 0.
8045364 SEM 2019-03-23 00:43:16.195972  убыло\прибыло: 13161.
7971160 SEM 2019-03-23 15:32:09.977490  убыло\прибыло: 0.
7971160 SEM 2019-03-23 15:32:13.188674  убыло\прибыло: -74204.
8089154 SEM 2019-03-24 14:32:49.741654  убыло\прибыло: 0.
8089154 SEM 2019-03-24 14:32:52.082788  убыло\прибыло: 117994.
8133393 SEM 2019-03-25 16:58:37.113772  убыло\прибыло: 0.
8133393 SEM 2019-03-25 16:58:40.448963  убыло\прибыло: 44239.
8200263 SEM 2019-03-27 11:39:59.324892  убыло\прибыло: 0.
8200263 SEM 2019-03-27 11:40:01.536018  убыло\прибыло: 66870.
8185943 SEM 2019-03-28 01:37:57.860359  убыло\прибыло: 0.
8185943 SEM 2019-03-28 01:38:00.077486  убыло\прибыло: -14320.
8181285 SEM 2019-03-29 16:25:24.328680  убыло\прибыло: 0.
8181285 SEM 2019-03-29 16:25:27.439858  убыло\прибыло: -4658.
8198528 SEM 2019-03-30 07:14:45.350756  убыло\прибыло: 0.
8198528 SEM 2019-03-30 07:14:47.921903  убыло\прибыло: 17243.
8196339 SEM 2019-03-30 11:37:27.303288  убыло\прибыло: 0.
8196339 SEM 2019-03-30 11:37:29.460411  убыло\прибыло: -2189.
8198087 SEM 2019-03-30 21:51:22.221125  убыло\прибыло: 0.
8198087 SEM 2019-03-30 21:51:24.667265  убыло\прибыло: 1748.
